feature,importance
demand_response_available_mw,0.9074406
transmission_utilization,0.03176799
transmission_utilization_lag_96,0.021459645
demand_lag_96,0.013562293
solar_rolling_mean_1h,0.006332906
demand_mw,0.004190541
demand_rolling_mean_6h,0.0028865663
hour,0.0027066101
demand_lag_4,0.0010424717
demand_lag_1,0.00082048756
solar_lag_4,0.00059661426
demand_rolling_std_6h,0.0005963759
demand_pct_change_1h,0.0005052402
demand_rolling_mean_1h,0.0004025568
solar_lag_96,0.00030349946
solar_generation_mw,0.00028035737
solar_rolling_mean_6h,0.00025968652
demand_change_24h,0.00025780417
wind_lag_96,0.00021992551
demand_change_1h,0.0002159484
demand_lag_2,0.00019228175
solar_share,0.00018983491
reserve_margin_pct,0.00018922909
day_of_week,0.00018592147
irradiance_wm2,0.00018245341
wind_rolling_mean_6h,0.0001758787
transmission_utilization_lag_4,0.00014974366
solar_lag_1,0.00013913111
demand_rolling_std_24h,0.0001337718
wind_rolling_mean_1h,0.00012845633
demand_rolling_std_1h,0.00012518757
net_load_mw,0.000114325005
wind_speed_ms_x,0.00010891401
wind_lag_4,0.00010863712
transmission_utilization_lag_1,0.00010507978
day_of_month,0.00010474578
humidity_pct,0.00010350902
demand_lag_8,0.00010158031
grid_stress_indicator,9.733103e-05
cloud_cover_pct,9.613665e-05
curtailment_lag_96,9.0364774e-05
net_load_lag_96,8.97393e-05
renewable_available_mw,8.894557e-05
minute,8.883677e-05
demand_rolling_mean_24h,8.3414474e-05
wind_generation_mw,7.7736804e-05
temperature_c,7.497862e-05
transmission_headroom_mw,7.391921e-05
curtailment_lag_1,7.346334e-05
renewable_share,7.101529e-05
curtailment_flag,7.099217e-05
demand_pct_change_15m,7.070214e-05
net_load_lag_4,6.729511e-05
net_load_lag_1,6.5299704e-05
renewable_dispatched_mw,6.348601e-05
wind_lag_1,6.302388e-05
curtailment_lag_4,5.6645822e-05
wind_share,5.267211e-05
demand_change_15m,5.0868504e-05
grid_frequency_hz,4.6217247e-05
demand_mw.1,0.0
total_renewable_generation_mw,0.0
curtailment_flag.1,0.0
wind_speed_ms_y,0.0
month,0.0
is_weekend,0.0
