asset_id,capacity_kw,expected_power_kw,actual_power_kw,performance_ratio
SOLAR_03,209799.0912717108,39934.218231475475,35940.76315449218,0.9555040336193018
WIND_04,142467.82213565524,35732.113662224176,35570.33094885191,0.9767853250225516
SOLAR_07,206210.88666940684,38941.14988618642,37997.04246253684,0.9937278505010051
WIND_03,220223.00234864172,86520.50943941883,85881.81774855079,0.9969616767362578
WIND_02,273235.229154987,107349.30871568597,106548.01377698073,0.9970606318582393
WIND_01,111616.7224336399,43849.37861791233,43529.36655960442,0.9972352728331046
SOLAR_08,103087.67414437036,19467.21938454199,19280.273140882204,0.9978663210362364
SOLAR_04,189798.7726295555,36127.25660683964,35799.78505083543,0.9979750093933196
SOLAR_10,224866.3961200633,42464.082169028654,42063.47825656419,0.9980612262655051
SOLAR_05,123402.79606636548,23489.111218819628,23272.79602687074,0.9980977003059603
SOLAR_09,245486.4778242992,46358.00700141331,45943.735382669205,0.9981758319177536
SOLAR_06,123399.1780504304,23488.422547400503,23286.04029914875,0.998257269883327
SOLAR_02,242607.14596148743,46179.068996986825,45781.54680329166,0.9983952221975994
SOLAR_01,156181.01782710437,29728.283434002355,29490.65084636659,0.9986237185517838
WIND_05,136364.99344142014,34201.27562665005,34111.26695570057,0.9993235148214015
